strategy                   mb         med_ppl   med_kl   mem_actual_MB
all_layers_h2o              4    854859949.45   15.694            2.36
all_layers_h2o             64    188996229.88   15.142           38.34
all_layers_h2o            512    145676620.58   14.547           42.07
all_layers_pyramidkv        4   1328487684.13   15.381            3.37
all_layers_pyramidkv       64        13725.65    6.432           41.89
all_layers_pyramidkv      512           18.84    0.000           42.07
all_layers_snapkv           4    434661267.77   15.253            2.36
all_layers_snapkv          64    358332503.24   15.778           38.34
all_layers_snapkv         512    670125226.89   14.733           42.07
all_layers_streaming        4    729673518.82   14.918            2.36
all_layers_streaming       64    902856944.65   15.193           38.34
all_layers_streaming      512    305296121.93   14.834           42.07
h2o                         4   1098826575.16   16.003           23.48
h2o                        64    145676620.58   14.547           42.07
h2o                       512    145676620.58   14.547           42.07
hybrid_h2o                  4    512805182.83   16.328           23.36
hybrid_h2o                 64           18.84    0.000           42.07
hybrid_h2o                512           18.84    0.000           42.07
hybrid_snapkv               4    172205496.06   14.576           23.36
hybrid_snapkv              64           18.84    0.000           42.07
hybrid_snapkv             512           18.84    0.000           42.07
hybrid_streaming            4    627734263.25   15.154           23.36
hybrid_streaming           64           18.84    0.000           42.07
hybrid_streaming          512           18.84    0.000           42.07
proportional_h2o            4    615501206.63   15.661            2.35
proportional_h2o           64     59737348.58   14.308           38.31
proportional_h2o          512    145676620.58   14.547           42.07
proportional_pyramidkv      4    171037870.28   14.639            1.73
proportional_pyramidkv     64        54431.50    7.902           41.85
proportional_pyramidkv    512           18.84    0.000           42.07
proportional_snapkv         4    405769078.89   15.654            2.35
proportional_snapkv        64    210650802.62   15.321           38.31
proportional_snapkv       512    670125226.89   14.733           42.07
proportional_streaming      4    766121981.06   15.433            2.35
proportional_streaming     64    157096034.16   14.778           38.31
proportional_streaming    512    305296121.93   14.834           42.07
pyramidkv                   4    181343826.33   15.832           24.48
pyramidkv                  64           18.84    0.000           42.07
pyramidkv                 512           18.84    0.000           42.07
snapkv                      4    147843743.77   14.912           23.48
snapkv                     64    670125226.89   14.733           42.07
snapkv                    512    670125226.89   14.733           42.07
standard                    4           18.84    0.000           42.07
standard                   64           18.84    0.000           42.07
standard                  512           18.84    0.000           42.07
streaming                   4    427884926.00   15.363           23.48
streaming                  64    305296121.93   14.834           42.07
streaming                 512    305296121.93   14.834           42.07

GATE: PASS
